n_components,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,explained_variance,auc_mean,auc_std
5,0.9501086956521739,0.009753277283527638,0.7872478126181374,0.05347018813712291,0.5464816761851009,0.7648705455387033,0.05193908288663897
10,0.9513664596273292,0.004720560742458062,0.7950671919332328,0.03350322694216331,0.6795924009422314,0.7682593615498284,0.04343640755652376
20,0.9463742236024846,0.01796208027172732,0.7890745818647502,0.06776241144389909,0.7578750008297003,0.7931965620811021,0.03172615410600459
30,0.9476552795031056,0.012749728527463457,0.8081131445590156,0.04581671771560668,0.7929359750055797,0.8330898157848117,0.033819862748386186
50,0.9364285714285714,0.015418257741130256,0.7756729000790645,0.06555732172475175,0.8322982743143965,0.8393340235386642,0.015344515363871247
75,0.9177795031055901,0.02883757145412263,0.7480195861381518,0.06934145815412429,0.862700750641983,0.82822888601474,0.04178778280406682
100,0.9065062111801241,0.02220189571748545,0.729646956695672,0.04494079207063054,0.8839777976953028,0.8515438992095408,0.026273937048257097
150,0.9252173913043478,0.01794399954070982,0.7666263910590536,0.04717828612478409,0.915730153963921,0.8320970055943497,0.019995112216463256
200,0.9451397515527951,0.009983983015949867,0.8136866481275169,0.027608357722390592,0.9376440502999505,0.8485491863462229,0.026796008469709618
