排名,子分类,所属系统,复发组均值,对照组均值,差异,方向,效应量 (Cohen's d),效应强度,AUC,P值,功能角色,恶性意图解读
1,E1 - 生殖与配子形成,E,0.2838,0.2826,+0.0012,↑,0.266,中,0.594,0.0552,🥇 增殖劫持,劫持生殖程序，获得无限增殖能力
2,B1 - 免疫应答,B,0.2649,0.2637,+0.0011,↑,0.253,中,0.591,0.0680,🛡️ 免疫重塑,免疫应答重塑，免疫逃逸增强
3,B2 - 应激反应,B,0.3030,0.3019,+0.0011,↑,0.253,中,0.590,0.0683,🛡️ 免疫重塑,B2功能异常激活
4,B3 - 炎症与修复,B,0.2884,0.2873,+0.0011,↑,0.251,中,0.588,0.0701,🛡️ 免疫重塑,B3功能异常激活
5,D1 - 蛋白质稳态,D,0.2812,0.2801,+0.0012,↑,0.249,中,0.589,0.0723,,D1功能异常激活
6,C3 - 代谢调节,C,0.3381,0.3374,+0.0008,↑,0.245,中,0.587,0.0768,🔋 能量系统,C3功能异常激活
7,A2 - 发育与分化,A,0.2819,0.2807,+0.0012,↑,0.243,中,0.585,0.0799,,A2功能异常激活
8,E2 - 遗传信息传递,E,0.2826,0.2813,+0.0013,↑,0.242,中,0.585,0.0804,🔄 生殖程序,遗传信息传递异常，基因组不稳定
9,A4 - 干细胞与再生,A,0.2833,0.2818,+0.0016,↑,0.235,中,0.582,0.0900,,A4功能异常激活
10,D2 - DNA修复与维护,D,0.3334,0.3325,+0.0009,↑,0.235,中,0.581,0.0903,,D2功能异常激活
11,A3 - 形态建成,A,0.2700,0.2686,+0.0014,↑,0.216,中,0.567,0.1199,,A3功能异常激活
12,A1 - 细胞周期与分裂,A,0.2881,0.2868,+0.0014,↑,0.212,中,0.566,0.1262,,A1功能异常激活
13,C2 - 合成代谢,C,0.2981,0.2970,+0.0011,↑,0.176,弱,0.549,0.2047,🔋 能量系统,C2功能异常激活
14,C1 - 能量代谢与分解代谢,C,0.4019,0.4012,+0.0007,↑,0.130,弱,0.535,0.3491,⚡ 代谢重编程,Warburg效应，糖酵解代谢重编程
