Subcategory_Code,Subcategory_Name,Parent_System,Mean_Activation,Std_Deviation,Min_Value,Max_Value,Coefficient_of_Variation,Median,Q1,Q3,IQR,Sample_Count,Overall_Rank,Within_System_Rank
A4,Stem Cell & Regeneration,A,0.33751977493981206,0.007062080354864013,0.3253060822650964,0.34375640666795,0.020923456577094938,0.34195595159127246,0.3286217762214788,0.34247422689595725,0.013852450674478434,24,1,1
A1,Cell Cycle & Division,A,0.29017417796581785,0.009042636551173162,0.2759799268495976,0.2971541381224719,0.03116278855191027,0.296003071964562,0.2780914492929867,0.29666276888961535,0.018571319596628666,24,2,2
A2,Development & Morphogenesis,A,0.267979129129653,0.009714029199359816,0.2529278882765677,0.2752944562943278,0.03624920056613811,0.2743071116880613,0.25484661328277225,0.27492216378041245,0.020075550497640204,24,3,3
C3,Catabolism & Degradation,C,0.26479609174336777,0.008830064751976362,0.2510435165937649,0.271849341521544,0.03334665815435897,0.2702685102365674,0.25293664075758426,0.2710929755418827,0.018156334784298456,24,4,1
B1,Innate Immunity,B,0.2620308967995451,0.010295546220355717,0.2470140225123576,0.2696289241243834,0.03929134444107887,0.26895512413291517,0.24803463913260593,0.2691884685698652,0.021153829437259297,24,5,1
C1,Energy Metabolism,C,0.2541879961170254,0.008565631380508195,0.2399302156936356,0.2613969222353443,0.03369801686687309,0.25930638754297197,0.24328958090951724,0.2604778386899376,0.01718825778042038,24,6,2
E2,Transport & Localization,E,0.25402234465746637,0.009750063077448837,0.2389087670780077,0.2614840874506712,0.03838269854014694,0.2603543578119607,0.24088180548794835,0.26097949013476607,0.020097684646817715,24,7,1
B3,Inflammatory Response,B,0.25337766629508557,0.01043180650127233,0.237397873488541,0.2612608016865021,0.04117097869677025,0.2602497671085763,0.2393854744911661,0.26083090800793196,0.021445433516765866,24,8,2
D1,Signal Transduction,D,0.2519196457632729,0.00991423061050028,0.2366861347795364,0.2595249172636869,0.03935473384960461,0.2584158367933618,0.23856894709218482,0.25889530050585685,0.020326353413672033,24,9,1
B2,Adaptive Immunity,B,0.25089317191491517,0.009963285123614704,0.235232773873979,0.2584526153564923,0.03971126454965275,0.25744968391970363,0.2374448677182208,0.2579289463008073,0.020484078582586523,24,10,3
A3,Growth Factors,A,0.24228471837170332,0.009913072828103938,0.227355277080565,0.2498030046921616,0.040914973485433395,0.24880947656203578,0.2288164216162079,0.24933094032080932,0.020514518704601414,24,11,4
E1,Structural Components,E,0.23479131211760418,0.009123816188726583,0.2209066786851005,0.242159051953525,0.03885925806384425,0.24080910621225565,0.22259188014193765,0.2410695061129549,0.018477625971017264,24,12,2
D2,Gene Expression,D,0.2338774989761686,0.009160709038194248,0.219338588582227,0.240928938176142,0.03916883444665062,0.23977963853017945,0.22159074440503135,0.24043210747114463,0.01884136306611328,24,13,2
C2,Biosynthesis,C,0.21915083119612863,0.010054998829910872,0.2019704025560445,0.2270434884358222,0.04588163674776195,0.22571863819730775,0.2062163754183131,0.2261795679126219,0.01996319249430878,24,14,3
