Subcategory,Correlation_r,r_squared,95%_CI,p_value,Sample_size
A1,-0.0353,0.0012,"[-0.104, +0.034]",0.318,802
A2,-0.0629,0.0040,"[-0.132, +0.006]",0.075,802
A3,+0.0442,0.0020,"[-0.025, +0.113]",0.211,802
A4,+0.0116,0.0001,"[-0.058, +0.081]",0.743,802
B1,-0.1680,0.0282,"[-0.234, -0.100]",1.72e-06,802
B2,-0.1319,0.0174,"[-0.199, -0.063]",1.81e-04,802
B3,-0.1617,0.0262,"[-0.228, -0.094]",4.15e-06,802
C1,+0.0276,0.0008,"[-0.042, +0.097]",0.435,802
C2,+0.0185,0.0003,"[-0.051, +0.088]",0.600,802
C3,+0.1551,0.0240,"[+0.087, +0.222]",1.03e-05,802
D1,+0.0092,0.0001,"[-0.060, +0.078]",0.794,802
D2,+0.0720,0.0052,"[+0.003, +0.141]",0.041,802
E1,+0.0044,0.0000,"[-0.065, +0.074]",0.902,802
E2,-0.0966,0.0093,"[-0.165, -0.028]",0.006,802
