Subcategory,Mars1,Mars2,Mars3,Mars4,F_statistic,p_value,eta_squared
A1,0.1309 ± 0.0016,0.1337 ± 0.0012,0.1319 ± 0.0012,0.1333 ± 0.0014,125.61,6.61e-60,0.442
A2,0.0992 ± 0.0016,0.1022 ± 0.0013,0.1004 ± 0.0013,0.1018 ± 0.0015,128.72,5.01e-61,0.448
A3,0.1263 ± 0.0013,0.1284 ± 0.0010,0.1269 ± 0.0009,0.1282 ± 0.0012,103.47,1.48e-51,0.395
A4,-0.0808 ± 0.0013,-0.0785 ± 0.0010,-0.0800 ± 0.0009,-0.0788 ± 0.0012,116.65,1.31e-56,0.424
B1,0.0974 ± 0.0008,0.0993 ± 0.0010,0.0983 ± 0.0011,0.0989 ± 0.0010,102.66,3.09e-51,0.393
B2,0.0890 ± 0.0012,0.0917 ± 0.0013,0.0902 ± 0.0013,0.0911 ± 0.0013,118.55,2.57e-57,0.428
B3,0.1129 ± 0.0008,0.1147 ± 0.0009,0.1138 ± 0.0009,0.1143 ± 0.0009,105.92,1.63e-52,0.401
C1,0.1634 ± 0.0013,0.1656 ± 0.0011,0.1641 ± 0.0009,0.1654 ± 0.0012,111.15,1.57e-54,0.412
C2,0.1254 ± 0.0014,0.1277 ± 0.0011,0.1261 ± 0.0010,0.1275 ± 0.0013,114.72,6.98e-56,0.420
C3,0.1217 ± 0.0009,0.1227 ± 0.0009,0.1217 ± 0.0007,0.1227 ± 0.0010,47.35,8.73e-27,0.230
D1,0.1242 ± 0.0013,0.1266 ± 0.0011,0.1249 ± 0.0010,0.1263 ± 0.0013,121.68,1.80e-58,0.435
D2,0.1350 ± 0.0013,0.1368 ± 0.0010,0.1354 ± 0.0009,0.1367 ± 0.0012,92.79,2.82e-47,0.370
E1,0.1088 ± 0.0015,0.1113 ± 0.0011,0.1097 ± 0.0011,0.1111 ± 0.0013,118.83,2.03e-57,0.429
E2,0.0878 ± 0.0015,0.0909 ± 0.0014,0.0892 ± 0.0014,0.0904 ± 0.0015,126.41,3.41e-60,0.444
